Train No.,train Name,islno,station Code,Station Name,Arrival time,Departure time,Distance,Source Station Code,source Station Name,Destination station Code,Destination Station Name
'11454',PRERANA EXPRESS,1,NGP ,NAGPUR         ,'00:00:00','09:35:00',0,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,2,WR  ,WARDHA JN      ,'10:42:00','10:45:00',79,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,3,BD  ,BADNERA JN     ,'12:40:00','12:43:00',175,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,4,AK  ,AKOLA JN       ,'13:30:00','13:35:00',253,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,5,MKU ,MALKAPUR       ,'14:38:00','14:40:00',343,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,6,BSL ,BHUSAVAL JN    ,'15:45:00','16:00:00',393,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,7,JL  ,JALGAON JN     ,'16:50:00','16:55:00',417,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,8,NDB ,NANDURBAR      ,'19:45:00','19:50:00',568,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,9,ST  ,SURAT          ,'23:40:00','23:50:00',728,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,10,BH  ,BHARUCH JN     ,'00:34:00','00:36:00',787,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,11,BRC ,VADODARA JN    ,'01:40:00','01:45:00',857,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
'11454',PRERANA EXPRESS,12,ANND,ANAND JN       ,'02:15:00','02:17:00',893,NGP ,NAGPUR         ,ADI ,AHMEDABAD JN   
