ProblemNo,Connection,Cost
0,11454 : 1 -> 9 ; 12490 : 3 -> 4 ; 12298 : 4 -> 5 ; 19131 : 12 -> 17,15
1,11454 : 4 -> 9 ; 12490 : 3 -> 4 ; 12298 : 4 -> 5 ; 19131 : 12 -> 13 ; 19203 : 12 -> 16,12
2,19131 : 21 -> 22,1
3,19943 : 6 -> 9 ; 12297 : 1 -> 2 ; 12298 : 1 -> 3 ; 14805 : 14 -> 15 ; 19203 : 4 -> 5,8
4,12490 : 2 -> 4 ; 12298 : 4 -> 5 ; 12490 : 7 -> 13,9
5,12490 : 13 -> 16 ; 14805 : 34 -> 36,5
6,14805 : 6 -> 11 ; 12298 : 1 -> 5 ; 12490 : 7 -> 18,20
7,18405 : 2 -> 27 ; 11454 : 1 -> 9 ; 12490 : 3 -> 4 ; 12298 : 4 -> 5 ; 14805 : 20 -> 23,38
8,18405 : 18 -> 27 ; 11454 : 1 -> 9 ; 12490 : 3 -> 4 ; 12298 : 4 -> 5 ; 12490 : 7 -> 8 ; 14805 : 25 -> 26,21
9,14805 : 22 -> 25 ; 12490 : 8 -> 14,9
10,12198 : 4 -> 5 ; 13424 : 7 -> 8 ; 12362 : 9 -> 11 ; 12274 : 3 -> 4 ; 13007 : 1 -> 2 ; 53003 : 4 -> 5,7
11,12145 : 22 -> 23 ; 12993 : 24 -> 25 ; 22832 : 15 -> 16 ; 12262 : 2 -> 3 ; 12641 : 21 -> 22 ; 11046 : 18 -> 19 ; 14010 : 18 -> 19 ; 59385 : 39 -> 41,9
12,12146 : 17 -> 18 ; 02511 : 7 -> 8 ; 12221 : 6 -> 7 ; 12819 : 9 -> 10 ; 12350 : 5 -> 6 ; 12424 : 7 -> 8 ; 11123 : 1 -> 2,7
13,58011 : 15 -> 16 ; 06336 : 41 -> 42 ; 22812 : 8 -> 9 ; 12262 : 2 -> 3 ; 02512 : 22 -> 24 ; 11003 : 4 -> 5 ; 50104 : 20 -> 22,9
14,57265 : 27 -> 28 ; 17231 : 2 -> 3 ; 12776 : 8 -> 10 ; 02873 : 5 -> 6 ; 12611 : 4 -> 5 ; 02590 : 3 -> 4 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 12329 : 8 -> 9 ; 14001 : 1 -> 2 ; 12358 : 1 -> 2 ; 19224 : 20 -> 21,13
15,58112 : 90 -> 91 ; 12871 : 14 -> 16 ; 12102 : 5 -> 6 ; 12222 : 3 -> 4 ; 12652 : 4 -> 5 ; 12552 : 24 -> 25 ; 17402 : 16 -> 17,8
16,06336 : 1 -> 2 ; 12431 : 2 -> 3 ; 12217 : 4 -> 5 ; 12224 : 1 -> 2 ; 12283 : 2 -> 3 ; 12909 : 4 -> 5 ; 19020 : 70 -> 72,8
17,16629 : 56 -> 57 ; 16518 : 5 -> 6 ; 12202 : 14 -> 15 ; 12217 : 12 -> 13 ; 12283 : 2 -> 3 ; 12217 : 16 -> 17 ; 12937 : 7 -> 8 ; 12316 : 11 -> 12 ; 14153 : 1 -> 3 ; 13010 : 14 -> 15,11
18,59460 : 5 -> 6 ; 11463 : 5 -> 6 ; 12949 : 4 -> 5 ; 11087 : 5 -> 6 ; 12905 : 5 -> 6 ; 19575 : 8 -> 9 ; 12937 : 4 -> 5 ; 12217 : 16 -> 17 ; 12465 : 12 -> 13,9
19,12843 : 16 -> 17 ; 08302 : 22 -> 23 ; 12146 : 14 -> 15 ; 22827 : 11 -> 12 ; 22866 : 12 -> 13 ; 22679 : 4 -> 5 ; 02590 : 7 -> 8 ; 11106 : 6 -> 7 ; 12539 : 17 -> 18 ; 14307 : 7 -> 8,10
20,18405 : 32 -> 36 ; 14805 : 16 -> 18 ; 11454 : 11 -> 13 ; 19203 : 10 -> 11 ; 12490 : 7 -> 8 ; 14805 : 25 -> 27 ; 12490 : 9 -> 13 ; 14805 : 31 -> 32 ; 12490 : 14 -> 15 ; 14805 : 33 -> 38,69360
21,18405 : 32 -> 35,11580
22,18405 : 12 -> 29 ; 11454 : 3 -> 5 ; 18405 : 31 -> 35,70500
23,12298 : 3 -> 4 ; 11454 : 11 -> 13 ; 19203 : 10 -> 11 ; 19131 : 12 -> 16,22140
24,19131 : 20 -> 21,600
25,19203 : 14 -> 15,2460
26,12283 : 1 -> 3 ; 11454 : 11 -> 13 ; 19203 : 10 -> 11 ; 12490 : 7 -> 8 ; 14805 : 25 -> 27 ; 12490 : 9 -> 11,120900
27,14805 : 2 -> 11 ; 12298 : 1 -> 2 ; 14805 : 13 -> 15 ; 19131 : 3 -> 5 ; 19203 : 5 -> 6 ; 11454 : 9 -> 10,92940
28,18405 : 24 -> 29 ; 11454 : 3 -> 5 ; 18405 : 31 -> 36 ; 14805 : 16 -> 18 ; 11454 : 11 -> 13 ; 19203 : 10 -> 11 ; 19131 : 12 -> 16,78240
